Store_ID,Month,Product_ID,total_revenue,revenue_percentage,total_units_sold,avg_selling_price,avg_inventory_level,cumulative_percent,abc_class
S001,2022-01,P0066,217715.21868295668,4.34,4022,54.13,174.71,4.34,A
S001,2022-01,P0126,211161.34611701962,4.21,4180,50.52,178.94,8.54,A
S001,2022-01,P0187,205504.2996107101,4.09,4214,48.77,195.03,12.64,A
S001,2022-01,P0016,198349.66060638428,3.95,3890,50.99,169.81,16.59,A
S001,2022-01,P0133,197096.17424554823,3.93,3974,49.6,173.65,20.52,A
S001,2022-01,P0057,193728.06553597454,3.86,4054,47.79,181.87,24.38,A
S001,2022-01,P0178,191077.4220331192,3.81,3614,52.87,164.68,28.18,A
S001,2022-01,P0046,189836.56943111419,3.78,3681,51.57,161.13,31.96,A
S001,2022-01,P0171,189673.0451284409,3.78,3032,62.56,141.94,35.74,A
S001,2022-01,P0125,188529.36306228637,3.76,4175,45.16,176.81,39.5,A
S001,2022-01,P0069,183353.20990362167,3.65,3886,47.18,171.84,43.15,A
S001,2022-01,P0149,178401.11867370602,3.55,3005,59.37,143.23,46.7,A
S001,2022-01,P0094,167763.02282390595,3.34,2842,59.03,149.00,50.05,A
S001,2022-01,P0083,167333.3861893177,3.33,3302,50.68,153.26,53.38,A
S001,2022-01,P0031,166219.15418205265,3.31,2997,55.46,142.77,56.69,A
S001,2022-01,P0061,165669.54067211153,3.3,3760,44.06,169.84,59.99,A
S001,2022-01,P0166,165569.17053894995,3.3,2899,57.11,140.32,63.29,A
S001,2022-01,P0183,164883.91313347814,3.28,2923,56.41,144.39,66.58,A
S001,2022-01,P0159,158926.0190282821,3.17,3056,52,150.94,69.74,A
S001,2022-01,P0116,149450.4332508087,2.98,2821,52.98,132.90,72.72,A
S001,2022-01,P0070,148629.7955682754,2.96,2672,55.62,137.35,75.68,A
S001,2022-01,P0129,144270.83955841063,2.87,2914,49.51,149.97,78.55,A
S001,2022-01,P0096,141597.85660991672,2.82,3082,45.94,146.39,81.37,B
S001,2022-01,P0017,138601.050494051,2.76,2812,49.29,139.35,84.14,B
S001,2022-01,P0068,137691.9861363411,2.74,2540,54.21,127.29,86.88,B
S001,2022-01,P0079,136594.62918376923,2.72,2716,50.29,135.55,89.6,B
S001,2022-01,P0067,133546.5638344765,2.66,2764,48.32,127.26,92.26,B
S001,2022-01,P0085,133185.5934167385,2.65,2700,49.33,123.35,94.91,B
S001,2022-01,P0175,129477.80783557892,2.58,2490,52,122.42,97.49,C
S001,2022-01,P0153,125823.25492401123,2.51,2453,51.29,130.84,100,C
S001,2022-02,P0178,222333.12644920347,4.93,3934,56.52,189.32,4.93,A
S001,2022-02,P0069,199504.06467552186,4.42,3410,58.51,170.68,9.36,A
S001,2022-02,P0061,199075.7882388115,4.42,3722,53.49,191.54,13.77,A
S001,2022-02,P0187,189213.5212067127,4.2,3810,49.66,188.75,17.97,A
S001,2022-02,P0126,182511.69370346068,4.05,3602,50.67,162.18,22.02,A
S001,2022-02,P0066,180896.33640670773,4.01,3621,49.96,188.57,26.03,A
S001,2022-02,P0057,180330.50487899783,4,3607,49.99,173.82,30.03,A
