Product_ID,Category,avg_our_price,avg_competitor_price,avg_price_gap,avg_units_sold,avg_demand_forecast,pricing_action
P0016,Clothing,53.99,53.88,0.11,105.34,117.68,"Consider Markdown"
P0069,Clothing,54.51,54.4,0.11,104.92,117.05,"Consider Markdown"
P0187,Clothing,54.84,54.74,0.1,105.64,118.18,"Consider Markdown"
P0171,Electronics,55.44,55.37,0.08,89.19,99.57,"Consider Markdown"
P0183,Electronics,54.69,54.6,0.08,89.18,99.6,"Consider Markdown"
P0133,Clothing,55.43,55.36,0.07,105.71,118.14,"Consider Markdown"
P0083,Toys,55.36,55.3,0.06,92.47,103.38,"Consider Markdown"
P0079,Furniture,55.11,55.06,0.05,92.96,104.06,"Consider Markdown"
P0061,Clothing,55.7,55.67,0.04,105.39,117.34,"Consider Markdown"
P0031,Electronics,54.93,54.9,0.03,88.42,99.06,"Consider Markdown"
P0057,Clothing,54.92,54.89,0.03,106.08,118.24,"Consider Markdown"
P0066,Clothing,55.8,55.77,0.03,105.41,117.59,"Consider Markdown"
P0068,Electronics,55.33,55.29,0.03,87.03,97.12,"Consider Markdown"
P0070,Electronics,54.95,54.92,0.02,87.73,98.04,"Consider Markdown"
P0085,Electronics,55.23,55.21,0.02,87.75,98.16,"Consider Markdown"
P0046,Clothing,54.77,54.76,0.01,105.97,118.53,"Consider Markdown"
P0116,Furniture,54.85,54.84,0.01,92.85,103.54,"Consider Markdown"
P0126,Clothing,54.75,54.74,0.01,103.82,116.2,"Consider Markdown"
P0149,Furniture,54.98,54.97,0.01,92.74,103.78,"Consider Markdown"
P0153,Furniture,55.31,55.3,0.01,93.04,103.64,"Consider Markdown"
P0125,Clothing,54.75,54.75,0,105.52,117.71,"Consider Markdown"
P0094,Groceries,54.79,54.81,-0.02,100.04,111.84,"Keep Price"
P0166,Groceries,56.05,56.08,-0.02,99.83,111.14,"Keep Price"
P0096,Toys,55.43,55.48,-0.05,92.97,103.72,"Keep Price"
P0175,Electronics,54.58,54.63,-0.05,88.35,98.67,"Keep Price"
P0067,Furniture,55.65,55.71,-0.06,93.23,103.65,"Keep Price"
P0017,Toys,54.2,54.28,-0.08,93.60,104.75,"Keep Price"
P0178,Clothing,55.27,55.36,-0.08,105.33,117.28,"Keep Price"
P0129,Furniture,55.09,55.18,-0.09,92.81,103.67,"Keep Price"
P0159,Electronics,54,54.09,-0.09,88.38,98.78,"Keep Price"
