YearWeek,Store_ID,Product_ID,total_units_sold,inventory_level_end_of_week,movement_category,movement_gap
2022-00,S001,P0070,217,217,Balanced,0
2022-00,S001,P0126,337,173,Fast-Moving,164
2022-00,S001,P0133,313,194,Fast-Moving,119
2022-00,S001,P0016,201,84,Fast-Moving,117
2022-00,S001,P0166,247,134,Fast-Moving,113
2022-00,S001,P0096,192,91,Fast-Moving,101
2022-00,S001,P0046,185,89,Fast-Moving,96
2022-00,S001,P0066,255,169,Fast-Moving,86
2022-00,S001,P0079,138,59,Fast-Moving,79
2022-00,S001,P0067,146,72,Fast-Moving,74
2022-00,S001,P0187,243,169,Fast-Moving,74
2022-00,S001,P0153,194,129,Fast-Moving,65
2022-00,S001,P0017,170,110,Fast-Moving,60
2022-00,S001,P0171,154,103,Fast-Moving,51
2022-00,S001,P0125,198,149,Fast-Moving,49
2022-00,S001,P0061,214,168,Fast-Moving,46
2022-00,S001,P0175,169,131,Fast-Moving,38
2022-00,S001,P0178,192,159,Fast-Moving,33
2022-00,S001,P0057,188,156,Fast-Moving,32
2022-00,S001,P0094,147,115,Fast-Moving,32
2022-00,S001,P0183,172,146,Fast-Moving,26
2022-00,S001,P0085,128,105,Fast-Moving,23
2022-00,S001,P0083,224,209,Fast-Moving,15
2022-00,S001,P0116,125,147,Slow-Moving,22
2022-00,S001,P0068,126,147,Slow-Moving,21
2022-00,S001,P0031,165,185,Slow-Moving,20
2022-00,S001,P0149,175,191,Slow-Moving,16
2022-00,S001,P0159,110,125,Slow-Moving,15
2022-00,S001,P0129,106,115,Slow-Moving,9
2022-00,S001,P0069,205,209,Slow-Moving,4
2022-00,S002,P0016,342,136,Fast-Moving,206
2022-00,S002,P0061,307,160,Fast-Moving,147
2022-00,S002,P0068,172,55,Fast-Moving,117
2022-00,S002,P0069,269,162,Fast-Moving,107
2022-00,S002,P0070,155,49,Fast-Moving,106
2022-00,S002,P0017,202,102,Fast-Moving,100
2022-00,S002,P0067,193,97,Fast-Moving,96
2022-00,S002,P0079,229,139,Fast-Moving,90
2022-00,S002,P0046,288,201,Fast-Moving,87
2022-00,S002,P0171,189,102,Fast-Moving,87
2022-00,S002,P0129,178,92,Fast-Moving,86
2022-00,S002,P0066,273,189,Fast-Moving,84
2022-00,S002,P0125,218,139,Fast-Moving,79
2022-00,S002,P0096,206,142,Fast-Moving,64
2022-00,S002,P0085,156,93,Fast-Moving,63
2022-00,S002,P0031,198,142,Fast-Moving,56
2022-00,S002,P0178,244,188,Fast-Moving,56
2022-00,S002,P0133,257,204,Fast-Moving,53
2022-00,S002,P0153,169,118,Fast-Moving,51
2022-00,S002,P0149,177,152,Fast-Moving,25
2022-00,S002,P0166,137,112,Fast-Moving,25
2022-00,S002,P0116,200,182,Fast-Moving,18
2022-00,S002,P0159,135,118,Fast-Moving,17
2022-00,S002,P0057,219,211,Fast-Moving,8
2022-00,S002,P0175,159,153,Fast-Moving,6
2022-00,S002,P0126,220,251,Slow-Moving,31
2022-00,S002,P0094,133,162,Slow-Moving,29
2022-00,S002,P0187,219,232,Slow-Moving,13
2022-00,S002,P0083,176,188,Slow-Moving,12
2022-00,S002,P0183,140,148,Slow-Moving,8
2022-00,S003,P0126,350,166,Fast-Moving,184
2022-00,S003,P0125,315,150,Fast-Moving,165
2022-00,S003,P0069,421,271,Fast-Moving,150
2022-00,S003,P0016,287,147,Fast-Moving,140
2022-00,S003,P0133,379,245,Fast-Moving,134
2022-00,S003,P0094,218,91,Fast-Moving,127
2022-00,S003,P0187,232,110,Fast-Moving,122
2022-00,S003,P0066,225,105,Fast-Moving,120
2022-00,S003,P0166,219,111,Fast-Moving,108
2022-00,S003,P0046,312,210,Fast-Moving,102
2022-00,S003,P0083,241,140,Fast-Moving,101
2022-00,S003,P0067,166,68,Fast-Moving,98
2022-00,S003,P0085,225,129,Fast-Moving,96
2022-00,S003,P0129,241,151,Fast-Moving,90
2022-00,S003,P0178,177,88,Fast-Moving,89
2022-00,S003,P0175,137,49,Fast-Moving,88
2022-00,S003,P0031,180,113,Fast-Moving,67
2022-00,S003,P0061,290,223,Fast-Moving,67
2022-00,S003,P0079,157,91,Fast-Moving,66
2022-00,S003,P0070,146,95,Fast-Moving,51
2022-00,S003,P0149,153,106,Fast-Moving,47
2022-00,S003,P0096,212,172,Fast-Moving,40
2022-00,S003,P0153,180,141,Fast-Moving,39
2022-00,S003,P0116,192,155,Fast-Moving,37
2022-00,S003,P0057,192,175,Fast-Moving,17
2022-00,S003,P0183,145,135,Fast-Moving,10
2022-00,S003,P0159,205,203,Fast-Moving,2
2022-00,S003,P0068,139,183,Slow-Moving,44
2022-00,S003,P0171,198,224,Slow-Moving,26
2022-00,S003,P0017,150,156,Slow-Moving,6
2022-00,S004,P0057,356,155,Fast-Moving,201
2022-00,S004,P0066,290,139,Fast-Moving,151
2022-00,S004,P0046,285,157,Fast-Moving,128
2022-00,S004,P0126,331,203,Fast-Moving,128
2022-00,S004,P0125,286,189,Fast-Moving,97
2022-00,S004,P0133,255,163,Fast-Moving,92
2022-00,S004,P0149,124,35,Fast-Moving,89
2022-00,S004,P0067,191,107,Fast-Moving,84
2022-00,S004,P0070,215,131,Fast-Moving,84
2022-00,S004,P0016,243,162,Fast-Moving,81
2022-00,S004,P0017,226,163,Fast-Moving,63
2022-00,S004,P0085,246,190,Fast-Moving,56
2022-00,S004,P0083,222,197,Fast-Moving,25
2022-00,S004,P0166,121,96,Fast-Moving,25
2022-00,S004,P0171,186,164,Fast-Moving,22
2022-00,S004,P0094,194,173,Fast-Moving,21
2022-00,S004,P0178,172,151,Fast-Moving,21
2022-00,S004,P0129,202,185,Fast-Moving,17
2022-00,S004,P0187,229,217,Fast-Moving,12
2022-00,S004,P0061,301,296,Fast-Moving,5
2022-00,S004,P0159,139,134,Fast-Moving,5
2022-00,S004,P0079,168,215,Slow-Moving,47
2022-00,S004,P0116,212,257,Slow-Moving,45
2022-00,S004,P0183,177,205,Slow-Moving,28
2022-00,S004,P0068,162,186,Slow-Moving,24
2022-00,S004,P0069,298,319,Slow-Moving,21
2022-00,S004,P0031,138,155,Slow-Moving,17
2022-00,S004,P0153,105,120,Slow-Moving,15
2022-00,S004,P0096,152,166,Slow-Moving,14
2022-00,S004,P0175,181,186,Slow-Moving,5
2022-00,S005,P0178,304,97,Fast-Moving,207
