Date,Product_ID,Store_ID,Inventory_Level,Recommended_Reorder_Threshold,Status
2022-01-01,P0016,S001,189,127.00,"Sufficient Stock"
2022-01-02,P0016,S001,84,100.50,"Reorder Now"
2022-01-03,P0016,S001,184,128.00,"Sufficient Stock"
2022-01-04,P0016,S001,93,121.50,"Reorder Now"
2022-01-05,P0016,S001,186,122.80,"Sufficient Stock"
2022-01-06,P0016,S001,111,116.67,"Reorder Now"
2022-01-07,P0016,S001,130,107.86,"Sufficient Stock"
2022-01-08,P0016,S001,180,102.29,"Sufficient Stock"
2022-01-09,P0016,S001,162,115.71,"Sufficient Stock"
2022-01-10,P0016,S001,127,101.29,"Sufficient Stock"
2022-01-11,P0016,S001,221,112.14,"Sufficient Stock"
2022-01-12,P0016,S001,116,106.86,"Sufficient Stock"
2022-01-13,P0016,S001,126,107.00,"Sufficient Stock"
2022-01-14,P0016,S001,161,118.71,"Sufficient Stock"
2022-01-15,P0016,S001,241,128.71,"Sufficient Stock"
2022-01-16,P0016,S001,132,115.14,"Sufficient Stock"
2022-01-17,P0016,S001,290,130.43,"Sufficient Stock"
2022-01-18,P0016,S001,164,127.86,"Sufficient Stock"
2022-01-19,P0016,S001,259,140.43,"Sufficient Stock"
2022-01-20,P0016,S001,167,148.00,"Sufficient Stock"
2022-01-21,P0016,S001,199,153.43,"Sufficient Stock"
2022-01-22,P0016,S001,254,151.43,"Sufficient Stock"
2022-01-23,P0016,S001,193,164.29,"Sufficient Stock"
2022-01-24,P0016,S001,199,152.71,"Sufficient Stock"
2022-01-25,P0016,S001,151,146.00,"Sufficient Stock"
2022-01-26,P0016,S001,132,142.43,"Reorder Now"
2022-01-27,P0016,S001,181,142.14,"Sufficient Stock"
2022-01-28,P0016,S001,172,133.86,"Sufficient Stock"
2022-01-29,P0016,S001,157,122.43,"Sufficient Stock"
2022-01-30,P0016,S001,129,115.00,"Sufficient Stock"
2022-01-31,P0016,S001,174,116.43,"Sufficient Stock"
2022-02-01,P0016,S001,208,118.71,"Sufficient Stock"
2022-02-02,P0016,S001,235,124.57,"Sufficient Stock"
2022-02-03,P0016,S001,231,123.43,"Sufficient Stock"
2022-02-04,P0016,S001,146,121.86,"Sufficient Stock"
2022-02-05,P0016,S001,140,122.29,"Sufficient Stock"
2022-02-06,P0016,S001,155,124.14,"Sufficient Stock"
2022-02-07,P0016,S001,164,123.43,"Sufficient Stock"
2022-02-08,P0016,S001,106,117.57,"Reorder Now"
2022-02-09,P0016,S001,149,105.29,"Sufficient Stock"
2022-02-10,P0016,S001,107,89.57,"Sufficient Stock"
2022-02-11,P0016,S001,306,103.43,"Sufficient Stock"
2022-02-12,P0016,S001,189,115.86,"Sufficient Stock"
2022-02-13,P0016,S001,173,109.43,"Sufficient Stock"
2022-02-14,P0016,S001,161,108.29,"Sufficient Stock"
2022-02-15,P0016,S001,96,106.29,"Reorder Now"
2022-02-16,P0016,S001,171,102.86,"Sufficient Stock"
2022-02-17,P0016,S001,229,123.00,"Sufficient Stock"
2022-02-18,P0016,S001,206,121.57,"Sufficient Stock"
2022-02-19,P0016,S001,183,114.14,"Sufficient Stock"
2022-02-20,P0016,S001,187,124.86,"Sufficient Stock"
2022-02-21,P0016,S001,163,121.14,"Sufficient Stock"
2022-02-22,P0016,S001,321,139.57,"Sufficient Stock"
2022-02-23,P0016,S001,100,137.43,"Reorder Now"
2022-02-24,P0016,S001,192,135.43,"Sufficient Stock"
2022-02-25,P0016,S001,130,129.29,"Sufficient Stock"
2022-02-26,P0016,S001,104,129.86,"Reorder Now"
2022-02-27,P0016,S001,117,122.14,"Reorder Now"
2022-02-28,P0016,S001,118,124.71,"Reorder Now"
2022-03-01,P0016,S001,158,111.86,"Sufficient Stock"
2022-03-02,P0016,S001,118,111.14,"Sufficient Stock"
2022-03-03,P0016,S001,163,104.57,"Sufficient Stock"
2022-03-04,P0016,S001,154,98.86,"Sufficient Stock"
2022-03-05,P0016,S001,87,90.14,"Reorder Now"
2022-03-06,P0016,S001,123,88.57,"Sufficient Stock"
2022-03-07,P0016,S001,153,88.43,"Sufficient Stock"
2022-03-08,P0016,S001,188,90.29,"Sufficient Stock"
2022-03-09,P0016,S001,154,89.00,"Sufficient Stock"
2022-03-10,P0016,S001,134,84.43,"Sufficient Stock"
2022-03-11,P0016,S001,197,85.71,"Sufficient Stock"
2022-03-12,P0016,S001,127,88.57,"Sufficient Stock"
2022-03-13,P0016,S001,181,99.43,"Sufficient Stock"
2022-03-14,P0016,S001,71,95.57,"Reorder Now"
2022-03-15,P0016,S001,168,90.14,"Sufficient Stock"
2022-03-16,P0016,S001,112,89.71,"Sufficient Stock"
2022-03-17,P0016,S001,184,96.71,"Sufficient Stock"
2022-03-18,P0016,S001,154,92.57,"Sufficient Stock"
2022-03-19,P0016,S001,161,96.14,"Sufficient Stock"
2022-03-20,P0016,S001,155,81.00,"Sufficient Stock"
2022-03-21,P0016,S001,149,83.71,"Sufficient Stock"
2022-03-22,P0016,S001,118,81.00,"Sufficient Stock"
2022-03-23,P0016,S001,119,85.86,"Sufficient Stock"
2022-03-24,P0016,S001,125,79.57,"Sufficient Stock"
2022-03-25,P0016,S001,163,81.43,"Sufficient Stock"
2022-03-26,P0016,S001,111,82.14,"Sufficient Stock"
2022-03-27,P0016,S001,126,80.71,"Sufficient Stock"
2022-03-28,P0016,S001,161,78.71,"Sufficient Stock"
2022-03-29,P0016,S001,98,81.71,"Sufficient Stock"
2022-03-30,P0016,S001,123,79.43,"Sufficient Stock"
2022-03-31,P0016,S001,76,79.29,"Reorder Now"
2022-04-01,P0016,S001,94,71.71,"Sufficient Stock"
2022-04-02,P0016,S001,147,75.29,"Sufficient Stock"
2022-04-03,P0016,S001,39,73.57,"Reorder Now"
2022-04-04,P0016,S001,128,76.43,"Sufficient Stock"
2022-04-05,P0016,S001,130,71.57,"Sufficient Stock"
2022-04-06,P0016,S001,68,68.86,"Reorder Now"
2022-04-07,P0016,S001,85,70.00,"Sufficient Stock"
2022-04-08,P0016,S001,62,71.71,"Reorder Now"
2022-04-09,P0016,S001,86,64.86,"Sufficient Stock"
2022-04-10,P0016,S001,217,79.86,"Sufficient Stock"
2022-04-11,P0016,S001,172,80.29,"Sufficient Stock"
2022-04-12,P0016,S001,190,90.57,"Sufficient Stock"
2022-04-13,P0016,S001,87,93.57,"Reorder Now"
2022-04-14,P0016,S001,172,92.29,"Sufficient Stock"
2022-04-15,P0016,S001,110,84.86,"Sufficient Stock"
2022-04-16,P0016,S001,103,80.14,"Sufficient Stock"
2022-04-17,P0016,S001,198,82.43,"Sufficient Stock"
2022-04-18,P0016,S001,133,75.86,"Sufficient Stock"
2022-04-19,P0016,S001,269,80.86,"Sufficient Stock"
2022-04-20,P0016,S001,107,75.86,"Sufficient Stock"
2022-04-21,P0016,S001,109,76.86,"Sufficient Stock"
2022-04-22,P0016,S001,185,92.43,"Sufficient Stock"
2022-04-23,P0016,S001,78,95.86,"Reorder Now"
2022-04-24,P0016,S001,162,93.29,"Sufficient Stock"
2022-04-25,P0016,S001,152,102.43,"Sufficient Stock"
2022-04-26,P0016,S001,166,101.86,"Sufficient Stock"
2022-04-27,P0016,S001,122,104.71,"Sufficient Stock"
2022-04-28,P0016,S001,227,113.57,"Sufficient Stock"
2022-04-29,P0016,S001,127,104.00,"Sufficient Stock"
2022-04-30,P0016,S001,171,104.57,"Sufficient Stock"
2022-05-01,P0016,S001,199,97.86,"Sufficient Stock"
2022-05-02,P0016,S001,212,101.57,"Sufficient Stock"
2022-05-03,P0016,S001,110,82.00,"Sufficient Stock"
2022-05-04,P0016,S001,163,92.57,"Sufficient Stock"
2022-05-05,P0016,S001,85,79.86,"Sufficient Stock"
2022-05-06,P0016,S001,108,85.57,"Sufficient Stock"
2022-05-07,P0016,S001,124,91.71,"Sufficient Stock"
2022-05-08,P0016,S001,115,91.57,"Sufficient Stock"
2022-05-09,P0016,S001,105,77.86,"Sufficient Stock"
2022-05-10,P0016,S001,96,88.29,"Sufficient Stock"
2022-05-11,P0016,S001,83,80.71,"Sufficient Stock"
2022-05-12,P0016,S001,126,83.43,"Sufficient Stock"
2022-05-13,P0016,S001,150,84.71,"Sufficient Stock"
2022-05-14,P0016,S001,226,89.29,"Sufficient Stock"
2022-05-15,P0016,S001,158,88.29,"Sufficient Stock"
2022-05-16,P0016,S001,144,91.57,"Sufficient Stock"
2022-05-17,P0016,S001,160,88.71,"Sufficient Stock"
2022-05-18,P0016,S001,185,101.71,"Sufficient Stock"
2022-05-19,P0016,S001,177,110.14,"Sufficient Stock"
2022-05-20,P0016,S001,157,109.86,"Sufficient Stock"
2022-05-21,P0016,S001,129,102.71,"Sufficient Stock"
2022-05-22,P0016,S001,139,107.00,"Sufficient Stock"
2022-05-23,P0016,S001,135,107.14,"Sufficient Stock"
2022-05-24,P0016,S001,108,110.00,"Reorder Now"
2022-05-25,P0016,S001,160,101.14,"Sufficient Stock"
2022-05-26,P0016,S001,126,95.71,"Sufficient Stock"
2022-05-27,P0016,S001,159,97.71,"Sufficient Stock"
2022-05-28,P0016,S001,70,90.43,"Reorder Now"
2022-05-29,P0016,S001,201,92.86,"Sufficient Stock"
2022-05-30,P0016,S001,144,94.86,"Sufficient Stock"
2022-05-31,P0016,S001,214,98.29,"Sufficient Stock"
2022-06-01,P0016,S001,116,93.57,"Sufficient Stock"
2022-06-02,P0016,S001,90,89.43,"Sufficient Stock"
2022-06-03,P0016,S001,120,89.14,"Sufficient Stock"
2022-06-04,P0016,S001,169,99.43,"Sufficient Stock"
2022-06-05,P0016,S001,106,88.00,"Sufficient Stock"
2022-06-06,P0016,S001,99,86.71,"Sufficient Stock"
2022-06-07,P0016,S001,157,84.43,"Sufficient Stock"
2022-06-08,P0016,S001,216,94.86,"Sufficient Stock"
2022-06-09,P0016,S001,128,103.86,"Sufficient Stock"
2022-06-10,P0016,S001,211,103.57,"Sufficient Stock"
2022-06-11,P0016,S001,125,97.57,"Sufficient Stock"
2022-06-12,P0016,S001,147,103.00,"Sufficient Stock"
2022-06-13,P0016,S001,227,113.00,"Sufficient Stock"
2022-06-14,P0016,S001,203,116.57,"Sufficient Stock"
2022-06-15,P0016,S001,108,103.00,"Sufficient Stock"
2022-06-16,P0016,S001,107,94.86,"Sufficient Stock"
2022-06-17,P0016,S001,90,89.43,"Sufficient Stock"
2022-06-18,P0016,S001,107,94.00,"Sufficient Stock"
2022-06-19,P0016,S001,97,87.29,"Sufficient Stock"
2022-06-20,P0016,S001,162,77.00,"Sufficient Stock"
2022-06-21,P0016,S001,132,71.57,"Sufficient Stock"
2022-06-22,P0016,S001,175,82.86,"Sufficient Stock"
2022-06-23,P0016,S001,130,89.57,"Sufficient Stock"
2022-06-24,P0016,S001,123,91.71,"Sufficient Stock"
2022-06-25,P0016,S001,208,92.86,"Sufficient Stock"
2022-06-26,P0016,S001,153,101.86,"Sufficient Stock"
2022-06-27,P0016,S001,163,105.43,"Sufficient Stock"
2022-06-28,P0016,S001,123,101.71,"Sufficient Stock"
2022-06-29,P0016,S001,92,93.86,"Reorder Now"
2022-06-30,P0016,S001,196,91.86,"Sufficient Stock"
2022-07-01,P0016,S001,153,99.00,"Sufficient Stock"
2022-07-02,P0016,S001,93,91.86,"Sufficient Stock"
2022-07-03,P0016,S001,119,90.14,"Sufficient Stock"
2022-07-04,P0016,S001,190,93.00,"Sufficient Stock"
2022-07-05,P0016,S001,164,101.14,"Sufficient Stock"
2022-07-06,P0016,S001,124,103.57,"Sufficient Stock"
2022-07-07,P0016,S001,94,104.00,"Reorder Now"
2022-07-08,P0016,S001,96,90.57,"Sufficient Stock"
2022-07-09,P0016,S001,118,96.14,"Sufficient Stock"
2022-07-10,P0016,S001,218,106.00,"Sufficient Stock"
2022-07-11,P0016,S001,113,105.00,"Sufficient Stock"
2022-07-12,P0016,S001,212,108.43,"Sufficient Stock"
2022-07-13,P0016,S001,183,111.14,"Sufficient Stock"
2022-07-14,P0016,S001,246,123.86,"Sufficient Stock"
2022-07-15,P0016,S001,49,124.00,"Reorder Now"
2022-07-16,P0016,S001,166,124.14,"Sufficient Stock"
2022-07-17,P0016,S001,115,113.43,"Sufficient Stock"
2022-07-18,P0016,S001,73,107.71,"Reorder Now"
2022-07-19,P0016,S001,116,103.00,"Sufficient Stock"
2022-07-20,P0016,S001,100,94.43,"Sufficient Stock"
2022-07-21,P0016,S001,35,71.57,"Reorder Now"
2022-07-22,P0016,S001,123,83.14,"Sufficient Stock"
